0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31  5 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16 15 19 17 30  3 28  1
0 25  2  6  8 31 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16  5 15 19 17 30  3 28  1
0 25  2  6  8 31 12 11  9 21 24 27  4 26 10 29 23 14 20 18 13  7 22 16  5 15 19 17 30  3 28  1
0  2  6  8 31 12 11  9 21 25 24 27  4 26 10 29 23 14 20 18 13  7 22 16  5 15 19 17 30  3 28  1
0  2  6  8 31 12 11  9 21 25 24 27  4 26 10 29 23 14 20 18 13  7 22 16  5 15 19 17 30  3 28  1
0  2  6  8 31 12 11  9 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 17  3 28  1
0 31  8  6  2 12 11  9 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 17  3 28  1
0 31  8  6  2 12 11  9 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 17  3 28  1
0 31  8  6  2 12 11  9 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 17  3 28  1
0 31  8  6  2 12 11  9 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 17  3 28  1
0 31  8  6  2 12 11  9 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 17  3 28  1
0 31  8  6  2 12 11  9 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 17  3 28  1
0  8  6  2 12  9 11 21 25 31 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 17  3 28  1
0  8  6  2 12  9 11 21 25 31 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 17  3 28  1
0  8  6  2 12  9 11 21 25 31 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 17  3 28  1
0  8  6  2 12  9 11 21 25 31 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 17  3 28  1
0  8  6  2 12  9 11 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 31 17  3 28  1
0  8  6  2 12  9 11 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 31 17  3 28  1
0  8  6  2 12  9 11 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 31 17  3 28  1
0  8  6  2 12  9 11 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 31 17  3 28  1
0  8  6  2 12  9 11 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 31 17  3 28  1
0  8  6  2 12  9 11 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 31 17  3 28  1
0  8  6  2 12  9 11 21 25 24 27  4 30 26 10 29 23 14 20 13 18  7 22 16  5 15 19 31 17  3 28  1
0  8  6  2 12  9 11 21 25 24 27  4 30 26 10  3 29 23 14 20 13 18  7 22 16  5 15 19 31 17 28  1
0  8  6  2 12  9 11 21 25 24 27  4 30 26 10  3 29 23 14 20 13 18  7 22 16  5 15 19 31 17 28  1
0  8  6  2 12  9 11 21 25 24 27  4 30 26 10  3 29 23 14 20 13 18  7 22 16  5 15 19 31 17 28  1
0  8  6  2 12  9 11 21 25 24 27  4 30 26 10  3 29 23 14 20 13 18  7 22 16  5 15 19 31 17 28  1
